,Editor,JPEG,GIF,PNG,TIFF,SVG
0,Amaya,Yes,Yes,Yes,Yes,Yes
1,Aptana,Yes,Yes,Yes,Yes,Depends
2,Arachnophilia,?,?,?,?,?
3,Bluefish,Yes,Yes,Yes,Yes,Yes
4,BlueGriffon,Yes,Yes,Yes,?,Yes
5,Brackets,Yes,Yes,Yes,No,Yes(via extension)[16]
6,Claris Homepage,Yes,Yes,No,No,No
7,Codelobster,Yes,Yes,Yes,No,No
8,CoffeeCup HTML Editor,Yes,Yes,Yes,Yes,No
9,Dreamweaver,Yes,Yes,Yes,Yes,Yes
10,Freeway,Yes,Yes,Yes,Yes,Yes
11,GoLive,Yes,Yes,Yes,No,Yes
12,KompoZer,Yes,Yes,Yes,No,No
13,Maqetta,?,?,?,?,?
14,Microsoft Expression Web,Yes,Yes,Yes,Yes,No
15,Microsoft FrontPage[17],Yes,Yes,Yes,?,Depends
16,Microsoft SharePoint Designer,Yes,Yes,Yes,Yes,No
17,Microsoft Visual Web Developer,Yes,Yes,Yes,Yes,No
18,Mobirise,Yes,Yes,Yes,Yes,Yes
19,Nvu,Yes,Yes,Yes,No,No
20,openElement,Yes,Yes,Yes,No,No
21,OpenOffice.org,Yes,Yes,Yes,Yes,Yes
22,oXygenXML Editor,Yes,Yes,Yes,Yes,Yes
23,Quanta Plus,Yes,Yes,Yes,Yes,Yes
24,RocketCake,Yes,Yes,Yes,No,No
25,SeaMonkey Composer,Yes,Yes,Yes,No,Yes
26,TOWeb,Yes,Yes,Yes,No,No
27,Web Architect,Yes,Yes,Yes,Yes,Depends
28,WebStorm IDE,Yes,Yes,Yes,No,No
29,Editor,JPEG,GIF,PNG,TIFF,SVG
