,Format,Full name,Owner,Based Format,File extension,MIME type,Application,Patented
49,DCS,Kodak DCS Pro RAW,Kodak,,.dcs,,,
50,DCR,Digital Camera Raw,Kodak,TIFF,.dcr,,,
51,DDS,DirectDraw Surface,Microsoft,,.dds,,,
52,Degas,Design & Entertainment Graphic Arts System,Integral Solutions,,".pi1, .pi2, .pi3,.pc1, .pc2, .pc3",,An application on Atari ST,
53,DNG,Digital Negative,Adobe Systems,"Compatible with ISO 12234-2, TIFF/EP[3]",.dng,,A raw image format suitable as an archival format and as the native raw format of digital cameras[4],No: no known intellectual property encumbrances or license requirements[5]
54,DIA,Dia Drawing,,XML,.dia,,Used by Dia,
55,DICOM,Digital Imaging and Communications in Medicine,National Electrical Manufacturers Association,,".dcm, .dicom",application/dicom[6],"Numerous biomedical imaging applications[6] (e.g. OsiriX, XMedCon), some general bitmap graphics applications (e.g. GIMP, Photoshop)",
56,DjVu,DjVu,AT&T Research,,".djvu, .djv",image/vnd.djvu,,
57,Doodle,,,,.doo,,An application on Atari ST,
58,DPX,Digital Picture eXchange file format,,,.dpx,image/dpx,,
59,DRF,Kodak Pro Back RAW,Kodak,,.drf,,,
60,Dr. Halo,,,,.cut,,,
61,Encapsulated PostScript,page description/scripting language (see PostScript),Adobe,,".epi, .eps, .eps2,.eps3, .epsf, .epsi,.ept",application/postscript,printing/publishing industry standard format,
62,ECW,Enhanced Compressed Wavelet,ERDAS,,.ecw,,Wavelet image format used primarily with geo-referenced aerial and satellite imagery,No
63,EDG,EDGE2 Original Format,TAKABO,,.edg,,Used by EDGE2,
64,EGI,Exclusive Graphics Format,,,.egi,,,
65,EMF,Enhanced Metafile Format,Microsoft,,".emf, .emz",,Microsoft Office,
66,EMF+,Enhanced Metafile Format Plus Extensions,Microsoft,,".emf, .emz",,,
67,ERF,EPSON RAW,EPSON,TIFF,.erf,,,
68,ERI,Entis Rasterized Image format,,,.eri,,,
69,Exif,Exchangeable Image File Format,,,.exif,,,
70,EVA,Extended Vector Animation,Sharp Corporation,,.eva,application/x-eva,,
71,EXR,OpenEXR,ILM,,.exr,image/exr,Used in film effects for 3d rendering and hdr images.,?
72,Farbfeld,,Laslo Hunhold,,.ff,,Very simple lossless bitmap format used for image processing.,No
73,FIF,Fractal Image Format,,,.fif,,,
74,FIG,FIG format,,,.fig,application/x-xfig,Supported by Xfig,
75,FITS,Flexible Image Transport System,,,".fit, .fits",,Scientific (esp. astronomical) data acquisition,
76,FLA,Flash Source File,,,.fla,,,
77,FLIC,,Autodesk,,".fli, .flc, .flx, .flh, .flt",,Supported by GIMP,
78,FLIF,Free Lossless Image Format,,,".flif, .flf",,"General-purpose lossless image compression, superior compression.",No
79,Kivio Document,,,.flw,,Supported by Kivio,,
80,FPX,FlashPix (1.0.2),,,.fpx,image/vnd.fpx,,
81,FreeHand,,Adobe Systems,,".fh4, .fh5, .fh7,.fh8, .fhc, .fh",image/x-freehand,,
82,FutureSplash,,Adobe Systems,,.spl,application/futuresplash,,
83,FXT,,3DFX,,.fxt,,,
84,GEGL composition,,,XML,.xml,application/xml,Used by GEGL,
85,Gerber Format,The Gerber Format Specification[7],Ucamco,Printable ASCII,.gbr,application/vnd.gerber,Printed Circuit Board or PCB software,No
86,GIF,Graphics Interchange Format,"CompuServe,Unisys (compression algorithm)",,".gif, .gfa, .giff",image/gif,Supported by most web browsers. Supports transparency and animation.,Expired
87,GIMP brush,,The GIMP Team,,.gbr,,Supported by GIMP,
88,GIMP compressed XJT image,,The GIMP Team,"JPEG, tar",".xjt,.xjtgz (compressed),.xjtbz2 (compressed)","None. Lossy format, not suitable for editing",Supported by GIMP,
89,GIH,Gimp image hose,The GIMP Team,,.gih,,Supported by GIMP,
90,GIMP patterns,,The GIMP Team,,.pat,,Supported by GIMP,
91,GRA,,,,.gra,,Used by QSV and QLD.,
92,G3 Fax,,,,.g3,,Supported by GIMP,
93,Hasselblad 3FR RAW,,,TIFF,.3fr,,,
94,Hasselblad/Imacon FFF,,,,.fff,,,
95,HEIF,High Efficiency Image Format,Motion Pictures Expert Group (MPEG),,".heif, .heic","image/heif, image/heic, image/heic-sequence, image/heif-sequence",,Yes
96,HDRi,,,TIFF,".tif, .tiff",image/tiff,,
97,HG,Hyper Graphic Press,,,.hg,,Supported by some old Japanese applications.,
98,ICER,,NASA Mars Rovers,,,,,
99,IIQ RAW,Intelligent Image Quality RAW,Phase One,,.iiq,,,
100,IMA,.ima,.ima team,,.ima,,Format for photographic images with HDR encoding.,No
101,IMG (GEM Paint),,,,.img,,Supported by GEM Paint,
102,IMG (ERDAS IMAGINE),ERDAS IMAGINE,ERDAS,Hierarchical File Architecture (HFA),.img,,"Image format used primarily with geo-referenced imagery, thematic grid data, and elevation grid data.",Yes
103,im4,,Masahide Hirabayashi,,.im4,,,
104,Inkscape SVG,,The Inkscape Team,SVG,".svg, .svgz",image/svg+xml,Used by Inkscape,
105,ICO,ICO file format,Microsoft,,".ico, .cur","image/vnd.Microsoft.icon, image/x-icon",Used by Microsoft Windows and web browsers as favicon,
106,ICS,Image Cytometry Standard,,,".ics, .ids",,,
107,IGES,Initial Graphics Exchange Specification,,,.igs,image/iges,CAD/CAM interoperability,No
108,ILBM,InterLeaved BitMap,Electronic Arts and Commodore Amiga,IFF,".iff, .ilbm, .lbm",image/x-ilbm,Planar graphics format designed for Amiga graphics hardware.,No
109,IPTC/NAA,IPTC/NAA,,TIFF,,,,
110,JBIG,,Joint Bi-level Image Experts Group,,".jbig, .bie, .jbg",,,
111,JBIG2,,Joint Bi-level Image Experts Group,,,,,
112,JNG,JPEG Network Graphics,,,.jng,image/x-jng,,No
113,JPEG,Joint Photographic Experts Group,Joint Photographic Experts Group,,".jpg, .jpeg, .jpe(containers:.jif, .jfif, .jfi)",image/jpeg,Photographic images. Supported by most web browsers.,Expired (see also Forgent#JPEG)
114,JPEG 2000,Joint Photographic Experts Group 2000,Joint Photographic Experts Group,,".jp2, .j2c, .jpc,.j2k, .jpx",image/jp2,"Photographic images, eventual replacement for JPEG.",Yes (no licence costs for part 1)
115,JPEG-LS,,Joint Photographic Experts Group,,.jls,,,
116,JPEG-HDR,,Dolby Laboratories/BrightSide Technologies,JPEG,,,HDR format based on RGBE floating-point encoding and backward-compatible extensions to JFIF format; included in JPEG XT Part 2.,
117,JPEG XT,,Joint Photographic Experts Group,,,,Backwards-compatible extension of the JPEG format for high bit depth and floating point HDR encoding of lossy and lossless images,
118,JPEG XR / HD Photo,JPEG XR / HD Photo,Microsoft,,".wdp, .hdp, .jxr",image/vnd.ms-photo,TIFF-like container format with HDR encoding for photographic images,Yes (royalty-free)
119,J6I,,RICOH,JPEG,.j6i,,Used by RICOH DC-1/2,
120,KDC,Kodak DC40/DC50 RAW,Kodak,TIFF,.kdc,,,
121,KOA,,,,".koa,.gg (compressed)",,Supported by Koala Paint,
122,KIFF,Kt Interchange File Format,,,".kif, .kiff",,,
123,KISS CEL,,,,.cel,,Supported by GIMP,
124,Kodak TIFF extensions,,Kodak,TIFF,.tif,,,
125,Kodak YCC,,Kodak,,.pcd,,,
126,KQP,,Minolta,JPEG,.kqp,,,
127,K25,Kodak DC25 RAW,Kodak,TIFF,.k25,,,
128,Leaf Mosaic RAW,,,TIFF,.mos,,,
129,LightStream Picture,,,,.lsp,,,
130,Logluv TIFF,,Greg Ward,TIFF,,,Supported by Libtiff,
131,Mac Paint,,,,".pnt, .mac",,,
132,MDC,Minolta RD175 Format,Minolta,,.mdc,,,
133,MET,OS/2 Metafile Format,,,.met,,Supported by SAS/GRAPH,
134,MNG,Multiple-image Network Graphics,,PNG,.mng,video/x-mng,,No
135,MO:DCA,MO:DCA,IBM,,".mda, .ica, .mmr,.afp",image,IBM's Content Manager and Image Plus,Yes
136,MSP,Microsoft Paint,Microsoft,,.msp,,,
137,MYD,Myd format,,,.myd,,,
138,MYV,Myv vector format,,,.myv,,,
139,NEF,Nikon RAW,Nikon,TIFF,.nef,,,
140,MEF,Mamiya RAW,Mamiya,TIFF,.mef,,,
141,Neochrome,,Dave Staugas,,.neo,,An application on Atari ST,
142,MAG,MAKIchan Graphic loader,Woody-Rinn,,.mag,,Used by many old Japanese applications.,
143,MAKI,MAKIchan net format,Woody-Rinn,,.mki,,,
144,MIFF,Magick image file format,ImageMagick Studio,,.miff,,Supported by ImageMagick,
145,MSA,Misachan File,Hirohumi Iguchi,,.msa,,Supported by old Japanese applications,
146,MSL,Magick Scripting Language,ImageMagick Studio,,.msl,,Supported by ImageMagick,
147,MVG,Magick Vector Graphics,ImageMagick Studio,,.mvg,,Supported by ImageMagick,
148,MPC,Magick Persistent Cache image file format,ImageMagick Studio,,.mpc,,Supported by ImageMagick,
149,MRW,Minolta RAW,Minolta,,.mrw,,,
150,NSK-TIFF,NSK-TIFF,Nihon Shinbun Kyokai (日本新聞協会),TIFF,,,,
151,OAZ,OAZ Fax,Oaz Communications,,.oaz,,Used by NetFax Manager,
152,ODG,OpenDocument drawing,,,.odg,,,
153,ORA,OpenRaster,freedesktop.org,OpenDocument/XML,.ora,,"DrawPile, GIMP, Krita, MyPaint, Nathive, Pinta",No
154,ORF,Olympus RAW,Olympus,TIFF,.orf,,,
155,ORTL,Ortelius file format,"Mapdiva, LLC",,.ortl,,Vector image/map format; used by Ortelius,
156,PAM,portable arbitrary map file format,,,.pam,image/x-portable-arbitrarymap,,No
157,Panasonic RAW,,Panasonic,TIFF,".raw, .rw2",,,
158,PCIF,Polyomino Compressed Image Format,,,.pcf,,,
159,PhaseOne P25/P30/P45 RAW,,Phase One,,".tif, .tiff",,,
160,PictureGear Pocket Image,,,,.prc,,,
161,PBM,Portable Bitmap File Format,,,.pbm,image/x-portable-bitmap,,No
162,PCD,Kodak ImagePac Photo CD,Kodak,,.pcd,image/jpcd,,
163,PCF,Pixel Coordination Format,,,.pcf,image/pcf,,
164,PCX,ZSoft PC Paintbrush File,ZSoft Corporation,,".pcx, .pcc, .dcx",image/x-pcx,"Dated rle packed indexed image format, used in some early 3d shooting games like Unreal Tournament as it takes up very little space and is easy to decode.",?
165,PDF,Portable Document Format,Adobe Systems,,".pdf, .epdf",application/pdf,,
166,PDN,Paint.NET Image,dotPDN LLC,,.pdn,,Preferred and supported by Paint.NET,
167,PEF,PENTAX RAW,PENTAX,TIFF,.pef,,,
168,PGF,Progressive Graphics File,xeraina GmbH,,.pgf,,"Photographic images, eventual replacement for JPEG.",No
169,PGM,Portable Graymap File Format,,,.pgm,image/x-portable-graymap,,No
170,PGML,Precision Graphics Markup Language,"Adobe Systems, IBM, Netscape, Sun Microsystems",,,,,No
171,Photochrome,,,,.pcs,,,
172,PNM,Portable Anymap File Format,,,.pnm,image/x-portable-anymap,,No
173,PTX,Pentax RAW Bitmap Graphic,Pentax,,.ptx,,,
174,Pi,,Yanagisawa,,.pi,,Used by some old Japanese applications.,
175,PIC,Yanagisawa PIC,Yanagisawa,,.pic,,Used by many old Japanese applications.,
176,PIC,DoGA PIC,Project Team DoGA,,.pic,,Used by DoGA CGA System.,
177,PICT,Macintosh PICT Format,Apple Inc.,,".pict, .pic, .pct,.pct1, .pct2",image/pict,"Metafile for Classic Mac OS, not meant for print publishing.",Likely expired
178,PICtor,,"John Bridges, Doug Wolfgram",,.pic,,Supported by PCPaint,
179,PIC2,,Yanagisawa,,.p2,,Supported by some old Japanese applications.,
180,PLD,PhotoLine Document,Computerinsel GmbH,,.pld,application/pld,Native format of the PhotoLine image editing program.,?
181,PMP,,Sony,JPEG,.pmp,,Used by Sony Cyber-Shot,
182,PNG,Portable Network Graphics,World Wide Web Consortium,,.png,image/png,W3C endorsed replacement for GIF. Supported by most web browsers.,No
183,PostScript,"page description/scripting language, levels 1–3",Adobe,,".ps, .ps2, .ps3",,printing/publishing industry standard format,
184,PPM,Portable Pixmap File Format,,,.ppm,image/x-portable-pixmap,Very easy to understand. Programs to analyze and write to this format are easily written.,No
185,PSD,Photoshop Document,Adobe Systems,,".psd, .psb, .pdb,.pdd",image/vnd.adobe.photoshop[8],Used mainly for storing image manipulation & editing data.,Yes
186,PSP,Paint Shop Pro Document,Corel Corporation,,".psp, .tub,.pspimage",image/x-psp,"Supported by Paint Shop Pro, GIMP",?
187,PSX TIM,,,,.tim,,,
188,PSX TIM2,Sony PlayStation Tim2,Sony,,".tm2, .str",,Used by PlayStation 2,
189,PXA,,,,.pxa,,Used by Pixia,
190,QuickTime Image,,Apple Inc.,,".qtif, .qti, .qif",,,
191,Q0,,,,.q0,,,
192,Q4,XLD4,MAJYO,,.q4,,,
193,RAD,,Gregory Ward Larson,,.rad,,Radiance,
194,RAF,Fujifilm RAW,Fujifilm,,.raf,,,
195,RGB,image/colourmap data in RGB format,,,.rgb,,,
196,RGBA,"image/colourmap data in RGB format, with Alpha channel",,,.rgba,,,
197,RGBE,,Gregory Ward Larson,,.hdr,image/vnd.radiance,"Radiance, most HDR imaging software",
198,RHIF,Rhapsoft Image Format,Romain Piveteau,SQLite,.rhif,,LiveQuarz file format,
199,R3D,RED REDCODE RAW,Red,,.r3d,,,
200,SAI,,SYSTEMAX,,.sai,,Supported by PaintTool SAI,
201,SCT,Scitex Continuous Tone Picture,,,.sct,,,
202,SDA,,Sun Microsystems,,.sda,,Supported by StarOffice Draw 3–5,
203,SDD,,Sun Microsystems,,.sdd,,Supported by StarOffice Draw 3–5,
204,SFW,Seattle File Works image,Seattle File Works,JPEG (JFIF),".sfw, .pwp",,JPEG-converters sfwjpg and pwpjpg for Unix/Linux and Windows,
205,SGB,,Sun Microsystems,,.sgb,,Supported by StarOffice Graphics 2,
206,SGI,Silicon Graphics Image,,,".sgi, .rgb, .rgba,.bw, .int, .inta,.icon",,,
207,Shockwave Director,,Adobe Systems,,".dir, .dcr, .dxr, .fgd",application/x-director,Used by Adobe Shockwave.,
208,SHAPE,Dia Stencil,,SVG,.shape,,Used by Dia.,
209,SK,,,,.sk,,Supported by Skencil,
210,SketchUp Format,,,,".skp, .skb",,Supported by SketchUp,
211,SML,Kivio stencil,,,.sml,,Supported by Kivio,
212,SRF,Sony RAW File,Sony,TIFF,".srf, .sr2",,,
213,SUN,Sun rasterfile,Sun Microsystems,,".sun, .ras, .rs, .im1,.im8, .im24, .im32",,Supported by GIMP,
214,STX,SBIG CCD camera ST-x,,,".stx, .st4, .st5,.st6, .st7, .st8,.st9",,,
215,SView5 Graphics,,Andreas Kleinert,,.svg/.sgx,,Used by SView5-Library/SDK,
216,SVG,Scalable Vector Graphics,World Wide Web Consortium,XML,".svg,.svgz (compressed)",image/svg+xml,"Scriptable vector image format; supported by major web browsers, occasionally via plug-in.",No
217,SWF,Shockwave Flash,Adobe Systems,,.swf,application/x-shockwave-flash,Supported by many web browsers via plug-in.,
218,SXD,OpenOffice.org 1.0 drawing format,,,.sxd,,,
219,TGA,Truevision Targa,Truevision Inc.,,".tga, .tpic",image/tga,Used by many 3D rendering applications and 3d games.,Yes?
220,TIFF,Tagged Image File Format,Adobe Systems,,".tiff, .tif",image/tiff,"Document scanning and imaging format, also functions as a container.",No
221,TIFF/EP,Tag Image File Format / Electronic Photography,International Organization for Standardization,TIFF,".tiff, .tif",,,
222,TIFF-FX,Tag Image File Format Fax eXtended,,TIFF,".tiff, .tif",image/tiff-fx,,
223,Tiny Stuff,,David Mumper,,".tny, .tn1, .tn2, .tn3,.tn4, .tn5, tn6",,An application on Atari ST,
224,TLG5,,,,.tlg,,Used by KiriKiri,
225,TLG6,,,,.tlg,,Used by KiriKiri,
226,UFO,Ulead File for Objects,,,.ufo,,,
227,VML,Vector Markup Language,Microsoft,XML,".htm, .html",application/vnd. openxmlformats-officedocument. vmlDrawing,"Internet Explorer, Microsoft Office",No
228,WBMP,Wireless Application Protocol Bitmap Format,Open Mobile Alliance (formerly WAP Forum),,".wbmp, .wbm, .wbp",image/vnd.wap.wbmp,Used in WAP-pages,No
229,WebP,WebP image format,Google,,.webp,image/webp,"Provides an alternative to JPEG, PNG and GIF with superior compression",Yes (royalty-free)
230,WinFax,,Symantec,,".wfx, fxs, fxo",,,
231,WMF,Windows Metafile Format,Microsoft,,".wmf, .wmz",,,
232,WordPerfect Graphics File,,,,.wpg,,,
233,XAML,Extensible Application Markup Language,Microsoft,XML,.xaml,application/xaml+xml,Used by Windows Presentation Foundation and Microsoft Silverlight.,?
234,XAR,Xar,Xara,Xar (graphics),.xar,application/vnd.xara,Used by Xara Photo & Graphic Designer,No
235,XBM,"X BitMap, colour variant of original black-and-white bitmap (bmp) format",,,".xbm, .bm,.icon, .bitmap",image/x-xbitmap,Used by many legacy Unix applications.,
236,XCF,"XCF, name derived from eXperimental Computing Facility",The GIMP Team,,".xcf,.xcfbz2 (compressed),.xcfgz (compressed)",application/x-gimp-image,Used by GIMP,
237,XPM,X-Pixmap,,,".xpm, .pm",image/x-xpm,Used by many legacy Unix applications.,
238,X3F,SIGMA RAW,SIGMA,,.x3f,,,
239,XWD,xwud X11 window dumper/undumper screenshot image,,,".xwd, .x11",,Used by X Window System,
240,XYZ,RPG Maker image file,ASCII,,.xyz,,RPG Maker,No
241,YCbCr,,,,.ycbcr,,,
242,YCbCrA,,,,.ycbcra,,,
243,YUV,,,,.yuv,,,
244,ZDT,,,,.zdt,,Used by TECH Win,
245,Format,Full name,Owner,Based Format,File extension,MIME type,Application,Patented
