,Preposition +definite article(Portuguese),a,de,em,por
0,o(masc.sing.),ao,do,no 1,pelo
1,a(fem.sing.),à 2,da,na,pela
2,os(masc.pl.),aos,dos 1,nos,pelos
3,as(fem.pl.),às,das,nas,pelas
