,Name,Creator,Initial public release,Predecessor,Current stable version,Release date,"Cost, availability",Preferred license[g 1],Target system type
0,AIX,IBM,1986,UNIX System V Release 3,7.2,"2015, October 5",Bundled with hardware,Proprietary,"Server, NAS, workstation"
1,Android,"Android, Inc., Google",2008,None,10,"2019, September 3",Free,"Apache 2.0, GNU GPLv2","Smartphone, tablet computer, education"
2,AmigaOS classic,"Commodore International, Haage & Partner, Hyperion Entertainment",1985,TRIPOS (as the disk operating component of AmigaOS),3.9 BB2,"2002, March 20","Discontinued; Bundled with hardware up to version 3.0 (Amiga International hardware came with 3.1); versions 2.1, 3.0, 3.1, 3.5, 3.9 also available as separate packages","Proprietary, open source clone available under AROS Public License","Workstation, personal computer"
3,AmigaOS 4,Hyperion Entertainment,2004,AmigaOS classic,4.1 Final Edition,2014,4.0 bundled with hardware; 4.0 for classic and 4.1 available as standalone package at €29,Proprietary,"Workstation, personal computer"
4,Chrome OS,Google,2009,Chromium OS,75.0.3770.102,"2019, March 5","Bundled with hardware, 32-bit edition dropped",Proprietary: Google OS Terms of Service,"Chromebook, Chromebox, Chromebase and tablets"
5,DragonFly BSD,Matthew Dillon,2003,FreeBSD,5.6.1,"2019, June 19",Free,BSD,"Server, workstation, NAS, embedded"
6,FreeBSD,The FreeBSD Project,1993,386BSD,12.0,"2018, December 11",Free,BSD,"Server, workstation, NAS, embedded"
7,Genode,Genode Labs,2008,None,19.05[1],"2019, May 29","Free, source code only",AGPL,"Desktop, Embedded, Server"
8,GhostBSD,Eric Turgeon,2009,FreeBSD,19.04[2],"2019, April 13",Free,BSD,"Desktop, workstation"
9,eComStation,"Serenity Systems, Mensys BV",2001,OS/2,2.1,2011,Home-student edition (max. three per site) US$145.00 (equivalent to $161.49 in 2018)business edition $290.00,Proprietary,"Server, workstation, personal computer"
10,EPOC32,Psion PLC,1996,,ER5,1999,Discontinued; Commercial,Proprietary,PDA
11,GNU/Linux,"Notable contributors include: Richard Stallman for GNU Project and Linus Torvalds for Linux and the Unixes they emulated; Red Hat, Debian Project See: Comparison of Linux distributions and Linux Kernel#Development","1991 (kernel), See: Comparison of Linux distributions and History of Linux",None,4.19 (kernel),"2018, October 22 (kernel)",Free,GNU GPLv2 (kernel),See: Comparison of Linux distributions
12,Haiku,Haiku Inc.,2009,BeOS R5,R1/Beta,"2018, September 29",Free,MIT,Personal computer
13,HP-UX,HP (now Hewlett Packard Enterprise),1983,UNIX System V,11i v3 Update 16,"2017, May",US$400,Proprietary,Server
14,IBM i,IBM,1988,OS/400,7.3,"2016, April 15",Bundled with hardware,Proprietary,Server
15,Inferno,Bell Labs,1997,Plan 9,Fourth Edition,"2009, June 30",Free,"MIT, GNU GPL, GNU LGPL, LPL","NAS, server, embedded"
16,iOS,Apple Inc.,2007,macOS,13.1,"2019, September 24","Bundled with hardware and free updates given to most existing users, subject to hardware requirements","Proprietary higher level API layers; open source core system (ARM versions): APSL, GNU GPL, others","Smartphone, music player, tablet computer"
17,IRIX,SGI,1988,UNIX System V,6.5.30,2006,Discontinued; Bundled with hardware,Proprietary,"Server, workstation"
18,Classic Mac OS,Apple Inc.,1984,None[g 2][g 3],9.2.2,2000,Discontinued; Was bundled with 68k and PowerPC Macs; versions 7-9 sold as retail upgrades[g 4],Proprietary,"Workstation, personal computer"
19,MVS,IBM,1972,OS/360,MVS/ESA SP - JES3 Version 5 R2.2,"1995, September 29",Bundled with hardware,Proprietary,IBM mainframe
20,macOS,Apple Inc.,2001,"NeXTSTEP, BSD",10.15.1 Catalina,"2019, October 29","Bundled with hardware; No-cost update via Mac App Store for users of Mac OS X 10.6 or later, assuming hardware requirements are met","Proprietary higher level API layers; open source core system (Intel-PowerPC versions): APSL, GNU GPL, others","Workstation, personal computer, embedded"
21,macOS Server,Apple Inc.,2001,"NeXTSTEP, BSD","10.12 / September 20, 2016","2016, September 20","Previously bundled with hardware; No longer a separate operating system, but a group of services installed atop any current version of Mac OS X; US$19.99 on the Mac App Store","Proprietary higher level API layers; open source core system (Intel-PowerPC versions): APSL, GNU GPL, others",Server
22,MPE,HP,1974,None,MPE-V,1988,"Discontinued; Was bundled with HP-3000 CISC hardware ""Classic""",Proprietary,Server
23,MCP,Unisys,1961,None,CP OS 17.0,"2015, April",Bundled with hardware,Proprietary,Server
24,MPE/XL,HP,1987,MPE,7.5,2002,Discontinued; Was bundled with HP-3000 PA-RISC hardware,Proprietary,Server
25,MINIX 3,Andrew S. Tanenbaum,2005,Minix2,3.3.0,2014,Free,BSD,Workstation
26,NetBSD,The NetBSD Project,1993,386BSD,8.1,"2019, May 31",Free,BSD,"NAS, server, workstation, embedded"
27,NetWare,Novell,1985,S-Net,6.5 SP8,"2009, May 6",Superseded by Novell Open Enterprise Server; Was US$184 (equivalent to $214.88 in 2018) (one-user),Proprietary,Server
28,NeXTSTEP,NeXT,1989,Unix,3.3,1995,"Discontinued; Was bundled with hardware, then sold separately",Proprietary,Workstation
29,OpenBSD,The OpenBSD Project,1995,NetBSD 1.0,6.5,"2019, May 1",Free,ISC,"Server, NAS, workstation, embedded"
30,OpenIndiana,"Many, based on software developed by Sun Microsystems and many others",2010,OpenSolaris,2019.04,"2017, May 3[3]",Free,CDDL,"Server, workstation"
31,OpenVMS,DEC (now VSI),1977,RSX-11M,8.4-2L2,"2017, July 10","Commercial, free non-commercial use",Proprietary,"Server, workstation"
32,OS/360,IBM,1966,None,Operating System/360 R21.8,"1972, August",Bundled with hardware,Proprietary,IBM mainframe
33,OS/390,IBM,1995,MVS,OS/390 Version 2 R10,"2000, September 29",Bundled with hardware,Proprietary,IBM mainframe
34,OS 2200,Unisys,1967 as Exec 8e,"Exec 8, OS 1100",CP OS 16 (Exec 49.2),"2015, February 27",Bundled with hardware,Proprietary,Server
35,OS/2,IBM and Microsoft,1987,MS-DOS,4.52,2001,Discontinued (see eComStation successor); Was US$300 (equivalent to $424.49 in 2018),Proprietary,"Personal computer, server"
36,Plan 9,Bell Labs,1993,Unix,Fourth Edition,2003 (except for minor later updates),Free,LPL,"Workstation, server, embedded, HPC"
37,QNX,QNX Software Systems,1982,"Unix, POSIX",7.0.0,"2017, March",Bundled with BlackBerry 10 and PlayBook devices. Commercial; an academic version exists that needs authorization code before installing,Proprietary,"Automotive, medical, smartphones, consumer, industrial, embedded, safety"
