,Client,CHAT,Whiteboard,SEND,RESUME,TSEND,SEND T,XMIT,Passive DCC,Server,RDCC,REVERSE,RSEND,Reverse / Firewall DCC,File servers (FSERVs),XDCC,VOICE
0,Bersirc,?,?,?,?,?,?,?,No,No,?,?,?,?,?,?,?
1,BitchX,Yes,No,Yes,Yes,Yes,Yes,?,No,No,?,?,?,?,?,Yes,?
2,ChatZilla,Yes,No,Yes,No[65],?,?,No,No[Note 1],No,No,No,No,No,No,?,?
3,Colloquy,Yes,?,Yes,Yes,?,?,?,Yes,No,?,?,?,?,?,Yes,?
4,degesch,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5,DMDirc,Yes,No,Yes,Yes,?,?,No,Yes,No,No,No,No,Yes,No,No,?
6,ERC,Yes,?,Yes,?,?,?,?,?,?,?,?,?,?,?,?,?
7,HexChat,Yes,No,Yes,Yes,?,?,?,Yes,?,?,?,?,?,?,Yes,?
8,HydraIRC,Yes,No,Yes,Yes,?,?,No,?,?,?,?,?,?,No,No,?
9,IceChat,Yes,No,Yes,?,?,?,No,?,?,?,?,?,?,No,No,?
10,IRCCloud,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,ircII,?,?,?,?,?,?,?,No,No,?,?,?,?,?,?,?
12,IRCjr,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,?
13,Ircle,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
14,Irssi,Yes,No,Yes,Yes,?,?,?,Yes,Yes,?,?,?,?,?,?,?
15,KiwiIRC,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,?
16,Konversation,Yes,Yes,Yes,Yes,?,?,?,Yes,No,?,?,?,Yes,?,Yes,?
17,KVIrc,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes[Note 2],Yes[Note 2],Yes[Note 3]
18,LimeChat,?,?,?,?,?,?,?,Yes,Yes,?,?,?,?,?,?,?
19,Linkinus,?,?,?,?,?,?,?,Yes,No,?,?,?,?,?,?,?
20,Mibbit,No,?,?,?,?,?,?,No,No,?,?,?,?,?,?,?
21,mIRC,Yes,?,Yes,Yes[Note 4],?,?,?,Yes,Yes,Yes[Note 5],?,?,Yes,Yes,Yes[Note 5],?
22,Nettalk,Yes,No,Yes,Yes,No,No,No,No,Partial,No,No,No,No,?,?,?
23,Opera,No,?,?,?,?,?,?,Yes,No,?,?,?,?,?,?,?
24,PIRCH,Yes,No,Yes,Yes[Note 4],?,?,No,No,No,No,No,No,No,No,No,?
25,PJIRC,Yes,No,Yes,Yes,?,?,?,?,?,?,?,?,?,?,?,?
26,Quassel,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,?
27,qwebirc,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,?
28,rcirc,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,?
29,Smuxi,?,?,?,?,?,?,?,No,No,?,?,?,?,?,?,?
30,Snak,Yes,?,Yes,Yes,?,Yes,?,No,No,?,?,?,?,?,?,?
31,Visual IRC,?,Yes,?,Yes[Note 4],?,?,?,Yes,No,?,?,?,Yes,?,?,Yes[Note 3]
32,WeeChat,Yes,?,Yes,?,?,?,?,No,No,?,?,?,?,?,Yes,?
33,XChat,Yes,?,Yes,Yes,No,No,?,Yes,Yes,?,?,?,Yes,?,Yes[Note 6],?
34,Client,CHAT,Whiteboard,SEND,RESUME,TSEND,SEND T,XMIT,Passive DCC,Server,RDCC,REVERSE,RSEND,Reverse / Firewall DCC,File servers (FSERVs),XDCC,VOICE
