,Implementation,TLS 1.2 Suite B
0,Botan,Yes
1,Bouncy Castle,Yes
2,cryptlib,Yes
3,GnuTLS,Yes
4,JSSE,Yes[67]
5,LibreSSL,Yes
6,MatrixSSL,Yes
7,mbed TLS,Yes
8,NSS,No[68]
9,OpenSSL,Yes[54]
10,RSA BSAFE,Yes[55]
11,S2n,
12,SChannel,Yes[69]
13,Secure Transport,No
14,wolfSSL,Yes
15,Implementation,TLS 1.2 Suite B
