,Internet media type,Trident,Tasman,Gecko,WebKit,KHTML,Presto,Prince XML
0,application/atom+xml,?,?,?,?,?,8.00 beta 2[o 1][o 2],?
1,application/mathml+xml,No,No,2.0[g 1],No,No,9.50 beta 2[o 3],?
2,application/rss+xml,?,?,?,?,?,7.50 beta 1[o 4][o 5],?
3,application/xhtml+xml,XHTML 5.0,Prompt for download,XHTML,XHTML125,HTML,XHTML1.0,?
4,application/xml,XHTML 5.0,Crash,XHTML,XHTML125,XML,XHTML1.0,?
5,application/xslt+xml,?,?,?,?,?,9.00 beta 1[o 6],?
6,image/svg+xml,?,?,1.0[g 2],?,?,9.50[o 7][o 8],?
7,text/xml,XHTML 5.0,Crash,XHTML,XHTML125,XML,XHTML1.0,?
8,text/html,HTML,HTML,HTML,HTML,HTML,HTML,?
