,Model,Launch,Code name,Fab (nm),Bus interface,Core clock (MHz),Memory clock (MHz),"Core config1,2",Fillrate,Fillrate.1,Fillrate.2,Fillrate.3,Memory,Memory.1,Memory.2,Memory.3,Processing power (GFLOPS)3,API support,API support.1,API support.2
0,Model,Launch,Code name,Fab (nm),Bus interface,Core clock (MHz),Memory clock (MHz),"Core config1,2",MOperations/s,MPixels/s,MTexels/s,MVertices/s,Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Single precision,Direct3D,OpenGL,Other
1,XGPU (Xbox)[217][218],"November 15, 2001",NV2A,TSMC 150 nm,Integrated,233,200,4:2:8:4,932,932,1864,116.5,64,5.34,DDR,128,5.8,8.1,1.4,
2,RSX (PS3)[219][220][221],"November 11, 2006",G70,Sony 90/65/40 nm,FlexIO,500550 (shaders),650,24:8:24:8,13200,4000,13200,1230,256256,"22.420 (read), 15 (write)",GDDR3XDR,128,192,,ES 1.1 w/Cg,
3,NX-SoC (Nintendo Switch)[222][223],"March 3, 2017",GM20B,TSMC 20/16 nm,Integrated,"307-384 (Undocked)768 (Docked, Max clockspeed)",13331600,256:16:16,157000196000393000,4400550011000,4900620012300,,4096,25.6,LPDDR4,64,157196393,,4.5[224]ES 3.2[225],Vulkan 1.0[226]NVN[222]
