,Unnamed: 0,Unnamed: 1,Trident,Tasman,Gecko,WebKit,KHTML,Presto
0,Interface CSSStyleSheet,Interface CSSStyleSheet,Interface CSSStyleSheet,Interface CSSStyleSheet,Interface CSSStyleSheet,Interface CSSStyleSheet,Interface CSSStyleSheet,Interface CSSStyleSheet
1,DOM2,ownerRule,No,?,1.0,?,?,2.0
2,DOM2,cssRules,No,Yes,1.0,1.3,?,2.0
3,DOM2,insertRule(),No,No,1.0,No,?,2.0
4,DOM2,deleteRule(),No,No,1.0,No,?,2.0
5,Interface StyleSheetList,Interface StyleSheetList,Interface StyleSheetList,Interface StyleSheetList,Interface StyleSheetList,Interface StyleSheetList,Interface StyleSheetList,Interface StyleSheetList
6,DOM2,length,6.0,?,1.0,?,?,2.0
7,DOM2,item(),6.0,?,1.0,?,?,2.0
8,Interface CSSRuleList,Interface CSSRuleList,Interface CSSRuleList,Interface CSSRuleList,Interface CSSRuleList,Interface CSSRuleList,Interface CSSRuleList,Interface CSSRuleList
9,DOM2,length,No,?,1.0,?,?,2.0
10,DOM2,item(),No,?,1.0,?,?,2.0
11,Interface CSSRule,Interface CSSRule,Interface CSSRule,Interface CSSRule,Interface CSSRule,Interface CSSRule,Interface CSSRule,Interface CSSRule
12,DOM2,type,No,?,1.0,?,?,2.0
13,DOM2,cssText,No,Yes,1.0,?,?,2.0
14,DOM2,parentStyleSheet,No,Yes,1.0,1.3,?,2.0
15,DOM2,parentRule,No,?,1.0,?,?,2.0
16,Interface CSSStyleRule,Interface CSSStyleRule,Interface CSSStyleRule,Interface CSSStyleRule,Interface CSSStyleRule,Interface CSSStyleRule,Interface CSSStyleRule,Interface CSSStyleRule
17,DOM2,selectorText,6.0,Yes,1.0,1.3,?,2.0
18,DOM2,style,No,?,1.0,?,?,2.0
19,Interface CSSMediaRule,Interface CSSMediaRule,Interface CSSMediaRule,Interface CSSMediaRule,Interface CSSMediaRule,Interface CSSMediaRule,Interface CSSMediaRule,Interface CSSMediaRule
20,DOM2,media,No,?,1.0,?,?,2.0
21,DOM2,cssRules,No,?,1.0,?,?,2.0
22,DOM2,insertRule(),No,?,1.0,?,?,2.0
23,DOM2,deleteRule(),No,?,1.0,?,?,2.0
24,Interface CSSFontFaceRule,Interface CSSFontFaceRule,Interface CSSFontFaceRule,Interface CSSFontFaceRule,Interface CSSFontFaceRule,Interface CSSFontFaceRule,Interface CSSFontFaceRule,Interface CSSFontFaceRule
25,DOM2,style,No,?,1.9.1[g 3],?,?,2.0
26,Interface CSSPageRule,Interface CSSPageRule,Interface CSSPageRule,Interface CSSPageRule,Interface CSSPageRule,Interface CSSPageRule,Interface CSSPageRule,Interface CSSPageRule
27,DOM2,selectorText,No,?,No[g 4],?,?,2.0
28,DOM2,style,No,?,No[g 4],?,?,2.0
