,Software,Web pages,Documents,Images,Video,Emails,Contacts,Book references,Discussions,Wiki pages,Database tables,Flat-files,Notes
0,Connectbeam,Yes,Yes,No,No,Yes,No,No,No,No,No,No,none
1,Dogear,Yes,Yes,No,No,No,No,No,No,No,No,No,none
2,Jumper 2.0,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,none
3,Knowledge Plaza,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,none
4,Scuttle,Yes,No,No,No,No,No,No,No,No,No,No,none
