,Software,Creates?,Modifies?,Mounts?,Writes/Burns?,Extracts?,Input,Output,OS,License
52,UltraISO,Yes,Yes,Yes,Yes,Yes,"BIN+CUE, BWI+BWT, B5T+B5I, B6T+B6I, C2D, CDI, CIF, DAA, DMG, FCD, G2D, GCD, GI, IMA, IMG+CCD, IML, ISO, ISZ, LCD, MDF+MDS, NCD, NRG, P01+MD1+XA, PDI, PXI, TAO, DAO, UIF, VaporCD, VC4/000, VCD, VDI, XMD+XMF [20]","BIN+CUE, CCD+IMG+SUB, ISO, ISZ, MDF+MDS, NRG",Windows,Trialware
53,Virtual CloneDrive,No,No,Yes,No,No,"ISO, BIN, IMG, UDF, DVD, CCD",,Windows,Freeware
54,Virtual CD-ROM Control Panel,No,No,Yes,No,No,ISO,,Windows,Freeware
55,VirtualDrive Pro,No,No,Yes,No,No,,,Windows,Shareware
56,WADK,Yes,Yes,Yes,Yes,No,"WIM, WSM","WIM, WSM",Windows NT,Freeware; DISM component is included with Windows
57,WinCDEmu,Yes,No,Yes,No,No,"ISO, BIN, NRG, MDF+MDS, CCD, IMG",,Windows,Free software (LGPL)
58,File Explorer,VHD only,No,Yes,ISO only,No,"ISO,[21][22] VHD[23]",VHD,Windows NT,Part of Windows
59,WinISO,Yes,Yes,Yes,Yes,Yes,"ISO, BIN, CCD, CUE, DVD, IMG, MDF, MDS, NRG","ISO, BIN, CCD, CUE, DVD, IMG, MDF, MDS, NRG",Windows,Shareware
60,WinRAR,No,No,No,No,Yes,ISO,,Windows,Shareware
61,WinZip,No,No,No,No,Yes,ISO,,Windows,Shareware
62,xorriso,Yes,Yes,LinuxFreeBSD,"Linux,BSD,Solaris",Yes,ISO,ISO,"Unix, Linux,Cygwin,macOS",Free software (GPL)
63,Software,Creates?,Modifies?,Mounts?,Writes/Burns?,Extracts?,Input?,Output?,OS,License
