,Model,Launch,Code name,Fab (nm),Transistors (million),Die size (mm2),Bus interface,SM count,Core config1,Clock rate,Clock rate.1,Clock rate.2,Clock rate.3,Clock rate.4,Fillrate,Fillrate.1,Memory configuration,Memory configuration.1,Memory configuration.2,Memory configuration.3,Supported API version,Supported API version.1,Supported API version.2,Supported API version.3,Processing power (GFLOPS)10,Processing power (GFLOPS)10.1,TDP (Watts),Release Price (USD)
0,Model,Launch,Code name,Fab (nm),Transistors (million),Die size (mm2),Bus interface,SM count,Core config1,Core (MHz),Average Boost (MHz),Max Boost (MHz),Shader (MHz),Memory (MHz),Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),DRAM type,Bus width (bit),Vulkan,Direct3D,OpenGL,OpenCL,Single precision,Double precision,TDP (Watts),Release Price (USD)
1,GeForce 6052,"April 3, 2012",GF119,TSMC 40 nm,292,79,PCIe 2.0 ×16,1,48:8:4,523,,,1046,898(1796),1.05,4.2,512 1024,14.4,DDR3,64,n/a[21],12,4.6,1.2,100.4,Unknown,25,OEM
2,GeForce GT 6103,"May 15, 2012",GF119-300-A1,TSMC 40 nm,292,79,"PCIe 2.0 ×16, PCIe ×1, PCI",1,48:8:4,810,,,1620,10001800,1.62,6.5,51210242048,814.4,DDR3,64,n/a[21],12,4.6,1.2,155.5,Unknown,29,Retail
3,GeForce GT 6204,"April 3, 2012",GF119,TSMC 40 nm,292,79,PCIe 2.0 ×16,1,48:8:4,810,,,1620,898(1796),1.62,6.5,5121024,14.4,DDR3,64,n/a[21],12,4.6,1.2,155.5,Unknown,30,OEM
4,GeForce GT 6204,"May 15, 2012",GF108-100-KB-A1,TSMC 40 nm,585,116,PCIe 2.0 ×16,2,96:16:4,700,,,1400,1000–1800,2.8,11.2,10242048,8–14.4,DDR3,64,n/a[21],12,4.6,1.2,268.8,Unknown,49,Retail
5,GeForce GT 625,"February 19, 2013",GF119,TSMC 40 nm,292,79,PCIe 2.0 ×16,1,48:8:4,810,,,1620,898(1796),3.24,6.5,512 1024,14.4,DDR3,64,n/a[21],12,4.6,1.2,155.5,Unknown,30,OEM
6,GeForce GT 630,"April 24, 2012",GK107,TSMC 28 nm,1300,118,PCIe 3.0 ×16,1,192:16:16,875,,,875,891(1782),14,14,10242048,28.5,DDR3,128,1.0[21],12,4.6,1.2,336,14,50,OEM
7,GeForce GT 630,"May 15, 2012",GF108-400-A1,TSMC 40 nm,585,116,PCIe 2.0 ×16,2,96:16:4,700,,,1620,1600–1800,2.8,11.2,102420484096,25.6–28.8,DDR3,128,n/a[21],12,4.6,1.2,311,Unknown,49,Retail
8,GeForce GT 630,"May 15, 2012",GF108,TSMC 40 nm,585,116,PCIe 2.0 ×16,2,96:16:4,810,,,1620,800(3200),3.2,13,1024,51.2,GDDR5,128,n/a[21],12,4.6,1.2,311,Unknown,65,Retail
9,GeForce GT 630,"May 29, 2013",GK208-301-A1,TSMC 28 nm,1020,79,PCIe 2.0 ×8,1,384:16:8,902,,,902,900(1800),7.22,14.44,10242048,14.4,DDR3,64,1.0[21],12,4.6,1.2,692.7,Unknown,25,
