,Model,Launch,Micro-archi-tecture,Code name,Fab (nm),Bus inter-face,Clock rate,Clock rate.1,Core config1,Fillrate,Fillrate.1,Memory,Memory.1,Memory.2,Memory.3,Processing power(GFLOPS),Processing power(GFLOPS).1,API compliance (version),API compliance (version).1,API compliance (version).2,API compliance (version).3,TDP (Watts),Notes
0,Model,Launch,Micro-archi-tecture,Code name,Fab (nm),Bus inter-face,Core (MHz),Memory (MHz),Core config1,Pixel (GP/s),Texture (GT/s),Size (GiB),Bandwidth (GB/s),Bus type,Bus width (bit),Single precision,Double precision,Direct X,OpenGL,OpenCL,Vulkan,TDP (Watts),Notes
1,FirePro S4000x[325][326],"August 7, 2014",GCN 1st Gen,Venus XT,28,PCIe 3.0 x16,950,1200,640:40:16:10,11.6,29,2,72,GDDR5,256,992,62,11.1 12.0,4.5,1.2,1.0,<45,"Type A MXM form factor, No physical display outputs,"
2,FirePro S7000[327],"August 27, 2012",GCN 1st Gen,Pitcairn XT,28,PCIe 3.0 x16,950,1200,1280:80:32:20,30.4,76,4,153.6,GDDR5,256,2432,152,11.1 12.0,4.5,1.2,1.0,<150,One DP
3,FirePro S7100X[328][329][330][331],"May 25, 2016",GCN 3rd gen,Amethyst XT,28,PCIe 3.0 x16,723,1050,2048:128:32:32,23.14,92.5,8,160,GDDR5,256,2961,TBA,11.2 12.0,4.5,2.0,1.1,100,"For Blade Servers, MXM Module 3.1"
4,FirePro S7150[332][333][334][335],"February 1, 2016",GCN 3rd gen,Tonga PRO GL,28,PCIe 3.0 x16,1050,1250,1792:112:32:28,33.6,117.6,8,160,GDDR5,256,3763,250,11.2 12.0,4.5,2.0,1.1,150,"ECC RAM, two Slots"
5,FirePro S7150 X2[332][334][336][337],"February 1, 2016",GCN 3rd gen,2× Tonga PRO GL,28,PCIe 3.0 x16,1050,1250,2× 1792:112:32:28,33.6,117.6,16,2× 160,GDDR5,256,7540,500,11.2 12.0,4.5,2.0,1.1,265,"ECC RAM, no physical display outputs"
6,FirePro S9000[338],"August 27, 2012",GCN 1st gen,Tahiti PRO GL,28,PCIe 3.0 x16,900,1375,1792:112:32:28,28.8,100.8,6,264,GDDR5,384,3225.6,806.4,11.1 12.0,4.5,1.2,1.0,<225,"ECC RAM, One DP"
7,FirePro S9050[339][340],"August 6, 2014",GCN 1st gen,Tahiti PRO GL,28,PCIe 3.0 x16,900,1375,1792:112:32:28,28.8,100.8,12,264,GDDR5,384,3225.6,806.4,11.1 12.0,4.5,1.2,1.0,<225,"ECC RAM, One DP"
8,FirePro S9100[341],"October 2, 2014",GCN 2nd gen,Hawaii Pro GL,28,PCIe 3.0 x16,824,1250,2560:160:64:40,52.74,131.8,12,320,GDDR5,512,4219,2109,11.1 12.0,4.5,2.0,1.0,<225,"ECC RAM, No physical display outputs"
9,FirePro S9150[342][343][344],"August 6, 2014",GCN 2nd gen,Hawaii XT GL,28,PCIe 3.0 x16,900,1250,2816:176:64:44,57.6,158.4,16,320,GDDR5,512,5070,2530,11.2 12.0,4.5,2.0,1.0,<235,"ECC RAM, No physical display outputs"
10,FirePro S9170[345][346],"July 8, 2015",GCN 2nd gen,Grenada XT GL,28,PCIe 3.0 x16,930,1375,2816:176:64:44,59.52,163.68,32,320,GDDR5,512,5240,2620,11.2 12.0,4.5,2.0,1.0,<275,"ECC RAM, Full Throughput double precision, no physical display outputs"
11,FirePro S9300 x2[347][348][349][350][351],"March 31, 2016",GCN 3rd gen,2× Capsaicin XT,28,PCIe 3.0 x16,850,2x 500,2× 4096:256:64:64,54.4,217.6,2× 4,2× 512,HBM,2x 4096,13900,868,11.2 12.0,4.5,2.0,1.1,300,"Non-ECC RAM, half-precision (FP16) support, no physical display outputs"
12,FirePro S10000[352],"November 12, 2012",GCN 1st gen,2× Zaphod (Tahiti Pro GL),28,PCIe 3.0 x16,825,1250,2× 1792:112:32:28,52.8,184.8,2× 3,2× 240,GDDR5,384,5913.6,1478.4,11.1 12.0,4.5,1.2,1.0,<375,"ECC RAM, 4x DP, 1x DVI-I"
13,FirePro S10000 passive[353],"November 12, 2012",GCN 1st gen,2× Tahiti PRO GL,28,PCIe 3.0 x16,825,1250,2× 1792:112:32:28,52.8,184.8,2× 3,2× 240,GDDR5,384,5913.6,1478.4,11.1 12.0,4.5,1.2,1.0,<375,"ECC RAM, 1x Mini DP, 1x DVI-I"
