,Manager,iPod touch / iPhone Firmware up to 1.1.4,iPod touch / iPhone FW 2.x,iPod touch / iPhone FW 3.0,iPod touch / iPhone FW 3.1,iPod touch / iPhone FW 4.0.2,iPod touch / iPhone FW 5.0.x
0,Amarok,Yes,No,Yes,Yes,"Yes, Read-only","Yes, Read-only"
1,Banshee,Yes,Yes,Yes,Yes,"Yes, Read-only","Yes, Read-only"
2,Clementine,"Yes, limited","Yes, limited","Yes, limited","Yes, limited",No,No
3,EphPod,No,No,No,No,No,No
4,gtkpod,Yes,Yes,Yes,Yes,?,?
5,iRip,Yes,Yes,Yes,Yes,Yes,"Yes, Read-only"
6,iTunes,Yes,Yes,Yes,Yes,Yes,Yes
7,JRiver Media Center,No,No,No,No,No,No
8,MediaMonkey,Yes,Yes,Yes,Yes,Yes,Yes
9,Rhythmbox,Yes,Yes,Yes,Yes,Yes,No
10,Senuti,Yes,Yes,No,No,No,?
11,Winamp native,No,No,No,No,No,No
12,XPlay,Yes,"Yes, Read only","Yes, Read only","Yes, Read only","Yes, Read only","Yes, Read only"
13,TouchCopy,Yes,Yes,Yes,Yes,Yes,Yes
14,Manager,iPod touch / iPhone Firmware up to 1.1.4,iPod touch / iPhone FW 2.x,iPod touch / iPhone FW 3.0,iPod touch / iPhone FW 3.1,iPod touch / iPhone FW 4.0.2,iPod touch / iPhone FW 5.0.x
