,Unnamed: 0,singular,singular.1,singular.2,singular.3,singular.4,singular.5,singular.6,plural,plural.1,plural.2,plural.3,plural.4,plural.5,indef.
0,,1st,2nd,2nd,3rd,3rd,3rd,3rd,1st,2nd,3rd,3rd,3rd,3rd,indef.
1,,1st,familiar,formal,m.,f.,n.,pan-gender,1st,2nd,m.,f.,n.,pan-gender,indef.
2,English,I,thou¹,you¹,he,she,it,she or he,we,you,,,,they,one
3,Esperanto,mi,ci¹,vi¹,li,ŝi,ĝi,-/ĝi²/gi,ni,vi,,,,ili,oni
4,Novial,me,vu,vu,lo,la,lu,le,nus,vus,los,las,lus,les,on
