,Model(Codename),Launch,Architecture(Fab),Core,Core.1,Fillrate,Fillrate.1,Processing power(GFLOPS),Memory,Memory.1,Memory.2,Memory.3,Bus interface,TDP (W)
0,Model(Codename),Launch,Architecture(Fab),Config[a],Clock (MHz),Texture (GT/s),Pixel (GP/s),Processing power(GFLOPS),Size (GiB),Bus type &width (bit)[b],Memory (MHz),Bandwidth (GB/s),Bus interface,TDP (W)
1,Radeon HD 7430M(Seymour Pro),January 2012,TeraScale 2(40 nm),160:8:4:2,600,4.8,2.4,192,1,DDR364-bit,900,14.4,PCIe 2.1 ×16,7
2,Radeon HD 7450M(Seymour Pro),January 2012,TeraScale 2(40 nm),160:8:4:2,700700,5.6,2.8,224,1,DDR3GDDR564-bit,900800,14.425.6,PCIe 2.1 ×16,7
3,Radeon HD 7470M(Seymour XT),January 2012,TeraScale 2(40 nm),160:8:4:2,750800,66.4,3.03.2,240256,1,DDR3GDDR564-bit,900800,14.425.6,PCIe 2.1 ×16,7~9
4,Radeon HD 7490M(Seymour XTX),January 2012,TeraScale 2(40 nm),160:8:4:2,800,6.4,3.2,256,1,GDDR564-bit,950,30.4,PCIe 2.1 ×16,9
5,Radeon HD 7510M(Thames LE),January 2012,TeraScale 2(40 nm),400:20:8:5,450,9.0,3.6,360,1,DDR364-bit,800,12.8,PCIe 2.1 ×16,11
6,Radeon HD 7530M(Thames LP),January 2012,TeraScale 2(40 nm),400:24:8:5,450,9.0,3.6,360,1,DDR364-bit,900,14.4,PCIe 2.1 ×16,11
7,Radeon HD 7550M(Thames Pro),January 2012,TeraScale 2(40 nm),400:20:8:5,450550,9.011.0,3.64.4,360440,1,DDR3GDDR564-bit,900800,14.425.6,PCIe 2.1 ×16,13
8,Radeon HD 7570M(Thames Pro),January 2012,TeraScale 2(40 nm),400:20:8:5,450650,9.013.0,3.65.2,360520,1,DDR3GDDR564-bit,900800,14.425.6,PCIe 2.1 ×16,13~15
9,Radeon HD 7590M(Thames XT),January 2012,TeraScale 2(40 nm),480:24:8:6,600,14.4,4.8,576,1,GDDR564-bit,800,25.6,PCIe 2.1 ×16,18
10,Radeon HD 7610M(Thames LE),January 2012,TeraScale 2(40 nm),400:20:8:5,450,9.0,3.6,360,1,DDR3128-bit,800,25.6,PCIe 2.1 ×16,20
11,Radeon HD 7630M(Thames LP),January 2012,TeraScale 2(40 nm),480:24:8:6,450,10.8,3.6,432,1,DDR3128-bit,800,25.6,PCIe 2.1 ×16,20~25
12,Radeon HD 7650M(Thames Pro),January 2012,TeraScale 2(40 nm),480:24:8:6,450550,10.813.2,3.64.4,432528,1,DDR3128-bit,800800,25.6,PCIe 2.1 ×16,20~25
13,Radeon HD 7670M(Thames Pro),January 2012,TeraScale 2(40 nm),480:24:8:6,600,14.4,4.8,576,1,DDR3GDDR5128-bit,900,28.857.6,PCIe 2.1 ×16,20~25
14,Radeon HD 7690M(Thames XT),January 2012,TeraScale 2(40 nm),480:24:8:6,725600,17.414.4,5.84.8,696576,12,DDR3GDDR5128-bit,900900,28.857.6,PCIe 2.1 ×16,20~25
15,Radeon HD 7690M XT(Thames XTX),January 2012,TeraScale 2(40 nm),480:24:8:6,725,17.4,5.8,696,12,GDDR5128-bit,900,57.6,PCIe 2.1 ×16,25
16,Radeon HD 7730M(Chelsea LP),April 2012,GCN 1st gen(28 nm),512:32:16:8,575675,18.421.6,9.210.8,588.8691.2,2,GDDR3128-bit,900900,28.8,PCIe 2.1 ×16,25~28
17,Radeon HD 7750M(Chelsea Pro),April 2012,GCN 1st gen(28 nm),512:32:16:8,575,18.4,9.2,588.8,12,GDDR5128-bit,1000,64,PCIe 2.1 ×16,28
18,Radeon HD 7770M(Chelsea XT),April 2012,GCN 1st gen(28 nm),512:32:16:8,675,21.6,10.8,691.2,12,GDDR5128-bit,1000,64,PCIe 2.1 ×16,32
19,Radeon HD 7850M(Heathrow Pro),April 2012,GCN 1st gen(28 nm),640:40:16:10,675,27,10.8,864,2,GDDR5128-bit,1000,64,PCIe 3.0 ×16,40
20,Radeon HD 7870M(Heathrow XT),April 2012,GCN 1st gen(28 nm),640:40:16:10,800,32,12.8,1024,2,GDDR5128-bit,1000,64,PCIe 3.0 ×16,40–45
21,Radeon HD 7970M(Wimbledon XT),April 2012,GCN 1st gen(28 nm),1280:80:32:20,850,68,27.2,2176,24,GDDR5256-bit,1200,153.6,PCIe 3.0 ×16,75
