,Program,Operating systems,License,Open source,Protocols,Codecs,Encryption,Other abilities,Latest release
0,Acrobits Softphone,"Android v2.2+, iOS v7.0+",Proprietary,No,SIP,"G.711, G.722, iLBC, GSM, G.729","TLS, SRTP, ZRTP","VOIP over Wi-Fi or 3G iOS only: push notifications, video, number rewriting, address book matching, sms for betamax providers and pennytel","Acrobits Softphone: 3.20 (Android), 5.2 (iOS)"
1,CounterPath Corporation Bria,"Android v4.4+, iOS v10+",Proprietary,No,SIP,"G.722 wideband, G.711a, G.711u, iLBC, G.729a, SILK, GSM, VP8, H.264, Opus","TLS, SRTP, ZRTP","Voice and video calling, SIP and XMPP messaging support, group chat, file, image and document sharing, contact integration, incoming call/IM push notifications.","5.3.4 July 23, 2018; 16 months ago"
2,CSipSimple,Android,GPL,Yes,SIP,"Opus, AMR-WB, G.722, iSAC, iLBC, Speex, Silk, Codec2, G.726, G711 (PCMA & PCMU), AMR, GSM","SRTP, SIP over TLS 1.0 and ZRTP",?,1.02.02
3,Google Duo,"iOS, Android","Proprietary, freeware",No,WebRTC,?,?,One-to-one voice and video calling.,"Android67.0.281783362.DR67_RC10 / November 21, 2019; 14 days ago[52]iOS67.0 / November 8, 2019; 27 days ago[53]"
4,Android,"67.0.281783362.DR67_RC10 / November 21, 2019; 14 days ago[52]",,,,,,,
5,iOS,"67.0 / November 8, 2019; 27 days ago[53]",,,,,,,
6,iCall Mobile,iOS v4.3+,"Proprietary, freeware",No,"SIP AIM ICQ XMPP, Facebook, Yahoo! Messenger, Windows Live","Speex, CELT, WebM","TLS, ZRTP","VoIP over Wi-Fi or 3G, SMS, voicemail",2.0.1; April 2012; 7 years ago
7,Jajah Mobile Web,"Symbian, Windows Mobile (version unknown)",Proprietary,No,?,?,?,"web based service, Call back,no download[54]",?
8,JusTex by Juphoon,"Android, iOS v5.1+",Proprietary,No,SIP,"PCMA, PCMU, G.722, iLBC, iSAC, Opus, H.264, VP8, H.263","TLS, TCP, UDP, SRTP","JusTex Softphone over Wi-Fi or 3G, HD voice and video call, Multiparty call, conference.","3.0.1 (iOS); July 13, 2014; 5 years ago; 3.0 (Android); July 9, 2014; 5 years ago"
9,Line,"Android, iOS",Proprietary,No,?,?,?,?,
10,Line2,"Android, iOS","Proprietary, freeware",No,Proprietary with SIP core,?,?,"Tri-mode calling (cellular, 3G/4G data, Wi-Fi), SMS over IP, visual voicemail, 20-person conference calls, auto-attendant, call-forwarding","1.0.4 Android, 3.2.1 iOS"
11,Media5-fone,"iOS, Android",Proprietary,No,SIP,"PCMA, PCMU, G.722*, iLBC, iSAC*, G.729*","TLS*, SRTP*","Wi-Fi and 3G/4G data, second call*, conference calls*, HD Voice, Bluetooth* (* Additional fees)",?
12,Signal by Signal Messenger,"iOS, Android",GPLv3,Yes,WebRTC[55],Opus[55],"TLS, Signal Protocol[55]","End-to-end encryption by default for everything. CallKit and location privacy,[56] one-to-one and group messaging, video calling,[56] image/video sharing, timed messages, identity verification, screenshot blocking. Android only: SMS/MMS messaging, doodling,[57] GIF sharing.[58]","Android4.50.6 / November 25, 2019; 10 days ago[59]iOS3.0.3 / December 3, 2019; 2 days ago[60]Desktop1.29.0 / December 5, 2019; 0 days ago[61]"
13,Android,"4.50.6 / November 25, 2019; 10 days ago[59]",,,,,,,
14,iOS,"3.0.3 / December 3, 2019; 2 days ago[60]",,,,,,,
15,Desktop,"1.29.0 / December 5, 2019; 0 days ago[61]",,,,,,,
16,Sipdroid,Android,GPL,Yes,SIP,?,?,"Uses Wi-Fi, 3G or EDGE",2.7
