,Unnamed: 0,Source code provided,Ajax use,Digital downloads,eBay listing integration,eBay order import,Multiple skins,Point of sale order management,Subscriptions,Taxation,Template engine
0,Apache OFBiz,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1,Bigcommerce,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
2,Drupal Commerce,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
3,LemonStand,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
4,nopCommerce,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5,Magento,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
6,pimcore,Yes,Yes,Yes,No,No,,Yes,Yes,Yes,
7,OpenCart,Yes,Yes,Yes,Add-on,Add-on,Yes,No,Yes,Yes,Yes
8,osCommerce,Yes,Yes,Yes,?,?,,Yes,Yes,Yes,
9,PrestaShop,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,Sana Commerce,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
11,Shopify,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
12,SupaDupa,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes
13,WooCommerce,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
14,Zen Cart,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes
15,,Source code provided,Ajax use,Digital downloads,eBay listing integration,eBay order import,Multiple skins,Point of sale order management,Subscriptions,Taxation,Template engine
