,IDE,License,Platforms,Latest Release,Developer
0,EclipseFP Plugin,EPL?,Java Virtual Machine,"2.6.4 / January 19, 2015",eclipsefp.github.io
1,SlickEdit,Proprietary,"Windows, Linux, macOS, AIX, HP-UX, Solaris, Solaris SPARC",October 2016,SlickEdit
