,Model,Launch,Code name,Process,Transistors (billion),Die size (mm2),Core config[a],Bus interface,L2 Cache (MB),Clock Speeds,Clock Speeds.1,Clock Speeds.2,Memory,Memory.1,Memory.2,Memory.3,Fillrate[b],Fillrate[b].1,Processing power (GFLOPS)[b][c],Processing power (GFLOPS)[b][c].1,TDP (Watts),SLI support,Release price (USD)
0,Model,Launch,Code name,Process,Transistors (billion),Die size (mm2),Core config[a],Bus interface,L2 Cache (MB),Base (MHz),Boost (MHz),Memory (MT/s),Size (GiB),Bandwidth (GB/s),Bus type,Bus width (bit),Pixel (GP/s)[d],Texture (GT/s)[e],Single precision,Double precision,TDP (Watts),SLI support,MSRP
1,GeForce GT 945A[51][52][53],"February, 2016",GM108,TSMC28HP,Unknown,Unknown,512:24:8 (4),PCIe 3.0 ×8,?,1072,1176,1800,1 / 2,14.4,DDR3 / GDDR5,64,8.59.4,25.728.2,1 097.71 204.2,34.337.6,33,No,OEM
2,GeForce GTX 950[54],"August 20, 2015",GM206-250,TSMC28HP,2.94,227,768:48:32 (6),PCIe 3.0 ×16,1,1024,1188,6600,2,105.7,GDDR5,128,32.738.0,49.157.0,1 572.81 824.7,49.157.0,90,2-way SLI,$159
3,GeForce GTX 950 (OEM)[55],Unknown,GM206,TSMC28HP,2.94,227,1024:64:32 (8),PCIe 3.0 ×16,1,935,Unknown,5000,2,80.0,GDDR5,128,29.9,59.8,1 914.9,59.8,Unknown,2-way SLI,OEM
4,GeForce GTX 960[56],"January 22, 2015",GM206-300,TSMC28HP,2.94,227,1024:64:32 (8),PCIe 3.0 ×16,1,1127,1178,7000,2,112.1,GDDR5,128,36.037.6,72.175.3,2 308.02 412.5,72.175.3,120,2-way SLI,$199
5,GeForce GTX 960 (OEM)[57],Unknown,GM204,TSMC28HP,5.2,398,1280:80:48 (10),PCIe 3.0 ×16,1,924,Unknown,5000,3,120.0,GDDR5,192,44.3,73.9,2 365.4,73.9,Unknown,2-way SLI,OEM
6,GeForce GTX 970[58],"September 18, 2014",GM204-200,TSMC28HP,5.2,398,1664:104:56 (13),PCIe 3.0 ×16,1.75,1050,1178,7000,3.5 +0.5[f],196.3 +28.0[f],GDDR5,224 +32[f],58.865.9,109.2122.5,3 494.43 920.3,109.2122.5,145,4-way SLI,$329
7,GeForce GTX 980[60],"September 18, 2014",GM204-400,TSMC28HP,5.2,398,2048:128:64 (16),PCIe 3.0 ×16,2,1126,1216,7000,4,224.3,GDDR5,256,72.077.8,144.1155.6,4 612.04 980.7,144.1155.6,165,4-way SLI,$549
8,GeForce GTX 980 Ti[61],"June 1, 2015",GM200-310,TSMC28HP,8,601,2816:176:96 (22),PCIe 3.0 ×16,3,1000,1075,7000,6,336.5,GDDR5,384,96.0103.2,176.0189.2,5 632.06 054.4,176.0189.2,250,4-way SLI,$649
9,GeForce GTX TITAN X[62],"March 17, 2015",GM200-400,TSMC28HP,8,601,3072:192:96 (24),PCIe 3.0 ×16,3,1000,1075,7000,12,336.5,GDDR5,384,96.0103.2,192.0206.4,6 144.06 604.8,192.0206.4,250,4-way SLI,$999
