,Format,Languages
0,"string1 ne string2, or string1 NE string2","ALGOL 68 – note: the operator ""ne"" is literally in bold type-font."
1,string1 /= string2,"ALGOL 68, Ada, Erlang, Fortran, Haskell"
2,string1 <> string2,"BASIC, VB, VB .NET, Pascal, Object Pascal (Delphi), OCaml, PHP, Seed7, Standard ML, F#, COBOL, Cobra, Python 2 (deprecated)"
3,string1 # string2,BASIC (some implementations)
4,string1 ne string2,"Perl, Raku"
5,(string<> string1 string2),Scheme (SRFI 13)
6,(string/= string1 string2),Common Lisp
7,(string/= string1 string2),ISLISP
8,(not= string1 string2),Clojure
9,string1 != string2,"C++ (STL), C#, Go, JavaScript (not similar), PHP (not similar), Python, Ruby, Swift, D, Mathematica"
10,string1 !== string2,"JavaScript, PHP"
11,string1 \= string2,Rexx
12,string1 ¬= string2,PL/I
13,"test string1 != string2, or [ string1 != string2 ]",Bourne Shell
14,"string1 -ne string2, or -not [string]::Equals(string1, string2)",Windows PowerShell
15,string1 ~= string2,"Lua, Smalltalk"
16,string1 ≢ string2,APL
