,Software,Web-based,Hosted On-Premises,SaaS,License,Programming language
104,Seavus Project Viewer (software),Yes,Yes,Yes,Proprietary,C++
105,Severa,Yes,Unknown,Yes,Unknown,
106,Smartsheet,Yes,Unknown,Yes,Proprietary,PHP
107,Spider Project,No,No,No,Proprietary,
108,Streamtime Software,Yes,No,Yes,Proprietary,PHP
109,TACTIC,Yes,Yes,Yes,Eclipse Public License,Python
110,Talygen,Yes,No,Yes,Proprietary,ASP.NET
111,TaskJuggler,No,Yes,No,GPL,Ruby
112,Teamcenter,Yes,Yes,Yes,Proprietary,
113,TeamDynamixHE,Yes,Yes,Yes,Proprietary,
114,Teamwork.com,Yes,No,Yes,Proprietary,
115,Tom's Planner,Yes,Unknown,Unknown,Proprietary,
116,Trac,Yes,Yes,Yes,(modified) BSD license,Python
117,TrackerSuite.Net,Yes,Yes,Yes,Proprietary,
118,Traction TeamPage,Yes,Yes,Yes,Proprietary,Java
119,Trello,Yes,No,Yes,Proprietary,"CoffeeScript, Backbone.js, HTML5, Mustache templating language, MongoDB, Node.js, Socket.io"
120,Triskell,Yes,No,Yes,Proprietary,Java
121,Tuleap,Yes,Yes,Yes,GPL,
122,Twproject,Yes,Yes,Yes,Proprietary,
123,UniPhi,Yes,Yes,Yes,Proprietary,ASP.NET
124,Vpmi,Yes,Unknown,Unknown,Proprietary,
125,web2project,Yes,Unknown,Unknown,GPL,PHP
126,Workamajig,Yes,Yes,Yes,Proprietary,
127,Workfront,Yes[19],No,Yes,Proprietary,
128,WorkPLAN Enterprise,No,Unknown,Unknown,Proprietary,
129,workspace.com,Yes,Unknown,Yes,Proprietary,
130,Wrike,Yes,Unknown,Yes,Proprietary,
131,Zoho Projects,Yes,No,Yes,Proprietary,PHP
