,Audio compression format,Algorithm,Sample rate,Bit rate,Latency,CBR,VBR,Stereo,Multichannel
0,AAC,"MDCT, Hybrid Subband (AAC-HE)",8–192 kHz[50],8–529 kbit/s (stereo),20–405 ms[51],Yes,Yes,"Yes: Dual, Mid/Side, Intensity, Parametric",Yes: Up to 48 channels
1,AC3,MDCT,"32, 44.1, 48 kHz",32–640 kbit/s,40.6 ms,Yes,No,Yes,Yes: Up to 6 channels
2,AMBE,?,8 kHz,"2, 9.6 kbit/s",?,?,?,?,?
3,AMR,ACELP,8 kHz,"4.75, 5.15, 5.90, 6.70, 7.40, 7.95, 10.20, 12.20 kbit/s",25 ms,Yes,Yes,No,No
4,AMR-WB(G.722.2),ACELP,16 kHz,"6.60, 8.85, 12.65, 14.25, 15.85, 18.25, 19.85, 23.05, 23.85 kbit/s",25 ms,Yes,Yes,Yes: only in MPEG-4 Part 12 container,No
5,AMR-WB+,ACELP,"8, 11.025, 16, 22.05, 32, 44.1, 48 kHz",6–36 kbit/s (mono)7–48 kbit/s (stereo),60–90 ms,Yes,Yes,Yes,No
6,aptX,Subband ADPCM,24–48 kHz (stereo),192–384 kbit/s (stereo),2 ms,Yes (4:1),No,Yes,Yes: Up to 8 channels
7,ATRAC1,MDCT-Hybrid Subband,44.1 kHz,292 kbit/s,>100 ms,Yes,No,Yes: Dual Only,No
8,ATRAC3,MDCT-Hybrid Subband,44.1 kHz,"66, 105, 132, 146, 176, 264, 352 kbit/s",>100 ms,Yes,No,"Yes: Dual (LP2), Mid/Side (LP4)",No
9,ATRAC3plus,MDCT-Hybrid Subband,44.1 kHz,48–352 kbit/s,>100 ms,Yes,?,Yes,Yes: Up to 6 channels
10,"BroadVoice (BV16, BV32)",Two-Stage Noise Feedback Coding (TSNFC),"8, 16 kHz","16, 32 kbit/s[52]",5 ms,Yes,No,No,No
11,Codec2,Speech,8 kHz,"0.7, 1.2, 1.3, 1.4, 1.6, 2.4, 3.2 kbit/s",20–40 ms,Yes,No,No,No
12,E-AC3,MDCT,"32, 44.1, 48 kHz",32–6144 kbit/s,?,Yes,?,Yes,Yes: Up to 15 channels
13,E-aptX,Subband ADPCM,15–48 kHz,"60, 384, 767, 1024 kbit/s, 1.28 Mbit/s",?,Yes (4:1),No,Yes,Yes: Up to 8 channels
14,GSM-HR,VSELP,8 kHz,5.6 kbit/s,25 ms,Yes,No,No,No
15,GSM-FR,RPE-LTP,8 kHz,13 kbit/s,20–30 ms,Yes,No,No,No
16,GSM-EFR,ACELP,8 kHz,12.2 kbit/s,20–30 ms,Yes,No,No,No
17,HE-AAC,?,22 ~ 96 kHz,16 ~ 80 kbit/s,?,Yes,Yes,"Yes: Dual, Mid/Side, Intensity, Parametric",Yes: Up to 48 channels
18,HVXC,Speech,8 kHz,"2, 4 kbit/s",36 ms,Yes,Yes,No,No
19,iLBC,Block Independent LPC,8 kHz,"13.33, 15.20 kbit/s","25, 40 ms",Yes,No,No,No
20,iSAC,Transform coding,"16, 32 kHz",10–52 kbit/s,"33, 63 ms",Yes,Yes,No,No
21,"MP3 (MPEG-1, 2, 2.5 Audio Layer III)","MDCT, Hybrid Subband","8, 11.025, 12, 16, 22.05, 24, 32, 44.1, 48 kHz","8, 16, 24, 32, 40, 48, 56, 64, 80, 96, 112, 128, 144, 160, 192, 224, 256, 288, 320 kbit/s",>100 ms,Yes,Yes,"Yes: Dual, Mid/Side, Intensity",No
22,MPEG-1 Audio Layer II (MP2),Subband,"32, 44.1, 48 kHz","32, 48, 56, 64, 80, 96, 112, 128, 160, 192, 224, 256, 320, 384 kbit/s",,Yes,Yes: but decoders are not required to support it,"Yes: Dual, Intensity",No
23,MPEG-2 Audio Layer II (MP2),Subband,"16, 22.05, 24 kHz[53][54]","8, 16, 24, 32, 40, 48, 56, 64, 80, 96, 112, 128, 144, 160 kbit/s[53]",,Yes,Yes: but decoders are not required to support it,Yes,Yes: up to 5 full range audio channels and an LFE-channel with MPEG Multichannel
24,Musepack,Subband,"32, 37.8, 44.1, 48 kHz",20–350 kbit/s,?,No,Yes,Yes,Yes: Up to 8 channels
25,Opus,"LP, MDCT",8–48 kHz,6–510 kbit/s,5–66.5 ms,Yes,Yes,Yes,Yes: Up to 255 channels[55]
26,RealAudio,MDCT,Varies (see article),Varies (see article),Varies,Yes,Yes,Yes,Yes: Up to 6 channels
27,SILK,LTP,"8, 12, 16, 24 kHz",6–40 kbit/s,25 ms,Yes,?,?,?
28,Siren 7,"Derived from PT716plus, MLT",16 kHz,"16, 24, 32 kbit/s",40 ms,Yes,No,No,No
29,Siren 14,MLT,32 kHz,"24, 32, 48 kbit/s (mono)48, 64, 96 kbit/s (stereo)",40 ms,Yes,No,Yes,No
30,Siren 22,MLT,48 kHz,"32, 48, 64 kbit/s (mono)64, 96, 128 kbit/s (stereo)",40 ms,Yes,No,Yes,No
31,Speex,CELP,"8, 16, 32, (48) kHz",2.15–24.6 kbit/s (NB)4–44.2 kbit/s (WB),30 ms (NB)34 ms (WB),Yes,Yes,Yes: Intensity,Yes
32,VMR-WB,ACELP,16 kHz,"8.55, 4.0, 0.8, 13.3, 6.2, 2.7, 1.0 kbit/s",33.75 ms,Yes,Yes,?,?
33,Vorbis (Ogg),MDCT,8–192 kHz,45-500 kbit/s (32-500 kbit/s for aoTuV tunings),>100 ms,Yes/ABR,Yes,"Yes: Dual, Lossless, Phase, Point (Intensity)",Yes: Up to 255 channels
34,WavPack Lossy,"Prediction, Quantization",1 Hz to 16.777216 MHz,196 kbit/s and up in lossy mode (for CD audio),3523.8 ms,Yes,Yes,Yes,Yes: Up to 256 channels
35,Windows Media Audio Standard,MDCT,"8, 11.025, 16, 22.05, 32, 44.1, 48 kHz",8–768 kbit/s,>100 ms,Yes,Yes,Yes,No
36,Windows Media Audio Pro,MDCT,"8, 11.025, 16, 22.05, 32, 44.1, 48, 88.2, 96 kHz",4–768 kbit/s,>100 ms,Yes,Yes,Yes,"Yes: At least 8 channels, expandable"
