,Test Suite,Performance Winner
0,Windows Launch Performance,Parallels Desktop for Mac
1,CPU,"Parallels Desktop for Mac, except for 2 of the 14 tests"
2,Footprint on Mac,Parallels Desktop for Mac
3,Application Launch,VMware Fusion
4,Application Performance,"Both products did well, except for IE where Parallels Desktop is 80-91% faster[5]"
5,3D and HD Performance,"Dependent on game1, video and Windows environment."
