,Client,Creator,First public release date,Latest stable version,Software license,Copy files over 2 GB[1],Unnamed: 6
0,ALFTP,ESTsoft,2000,"5.31 February 1, 2012; 7 years ago",Proprietary,?,
1,ExpanDrive (Mac),"ExpanDrive, Inc",2008,"macOS: 7.4.0 (November 16, 2019; 19 days ago[7]) [±] Windows: 7.4.0 (November 16, 2019; 19 days ago[8]) [±] Linux: 7.4.0 (November 16, 2019; 19 days ago[9]) [±]",Proprietary,Yes,
2,ExpanDrive (Windows) (formerly SFTPDrive),"ExpanDrive, Inc",2005,"macOS: 7.4.0 (November 16, 2019; 19 days ago[10]) [±] Windows: 7.4.0 (November 16, 2019; 19 days ago[11]) [±] Linux: 7.4.0 (November 16, 2019; 19 days ago[12]) [±]",Proprietary,Yes,
3,ForkLift,"BinaryNights, LLC",2007,"3.2.2 April 10, 2018; 19 months ago",Proprietary,Yes,
4,FTP Commander,Internetsoft Corporation,1997,"9.21 November 8, 2010; 9 years ago",Proprietary,Yes,
5,FTP Explorer,FTPx Corp.,"October, 1996",1.0.1.53; January 2012,Proprietary,?,
6,Interarchy,Nolobe Software Pty Ltd,1993 (as Anarchie),"10.0.6 August 18, 2014; 5 years ago",Proprietary,Yes,
7,Steed,"French Fry, SAS",2012,"1.2.1.1169 June 27, 2017; 2 years ago",Proprietary,Yes,
8,Transmit,"Panic, Inc.",1998,"5.0.4 October 2, 2017; 2 years ago",Proprietary,Yes,
9,WISE-FTP,AceBIT,1998,"7.0 (Build 7.0.4) March 16, 2012; 7 years ago",Proprietary,?,
10,edtFTPj,Bruce P. Blackshaw,2000,"2.3.0 August 26, 2011; 8 years ago",Proprietary,Yes,Java JAR file
11,edtFTPnet,Bruce P. Blackshaw,2003,"2.2.1 August 26, 2011; 8 years ago",Proprietary,Yes,Windows DLL
