,Unnamed: 0,Server OS support,Features,Features.1,Features.2,Features.3,Features.4,Features.5,Features.6,Features.7,Features.8,Features.9,Features.10,Features.11,Storage,Storage.1,Users,Unnamed: 17
0,Mail server,Linux/Unix,SMTP,POP3,IMAP,IMAP IDLE,SMTP over TLS,DANE,POP over TLS,IPv6,SSL,Webmail,ActiveSync,Sieve,Database,Filesystem,Other,License
1,agorum core,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,GPLv2
2,Apache James,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,?,Yes,No,No,Yes,Yes,Yes,No,ASLv2
3,Axigen,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,"Ajax, Basic & Mobile",Yes,Yes,"Proprietary, Embedded, Optimized for Email and Groupware",No,Yes,"Proprietary (free version: 5 domains, 5 users, 5 groups)"
4,Citadel,Yes,Yes,Yes,Yes,No,Yes,?,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,GPLv3
5,CommuniGate Pro,Yes,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Proprietary (Free for up to 5 users)
6,Courier Mail Server,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,maildrop,No,maildir,No,GPLv3[2]
7,Cyrus IMAP,Yes,No,Yes,Yes,Yes,No,?,Yes,Yes,Yes,No,No,Yes,Yes (indexes),Yes,Yes,4-clause BSD[3]
8,Dovecot,Yes[4],Yes[5],Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,No,No,Yes,Yes,"maildir, mbox, dbox",No,Mixed: MIT and LGPL 2.1[6]
9,Eudora Internet Mail Server,No,Yes,Yes,Yes,?,No,?,No,?,No,No,No,?,No,No,Yes,Proprietary
