,Unnamed: 0,Trident,Gecko,WebKit,Presto
0,translate[23],No,No,No,No
1,Datasets (data-*),No,6.0[g 24],Yes[w 25],2.8[p 10]
2,contextmenu,No,8.0[g 25],No[w 16],No
3,hidden,No,2.0[g 26],Yes[w 26],2.7.70
4,contenteditable[24],<3.1[IE 5.5],1.9,Yes,2.0
5,spellcheck[25],6.0,1.8[g 27],Incorrect[w 27],2.8[p 11]
6,draggable,6.0,1.9.1[g 28],533[w 28],2.10.270
7,dropzone,No,No[g 29],Yes,2.10.270
8,,Trident,Gecko,WebKit,Presto
