,BitTorrent library,Super-seeding,Tracker,UPnP [Note 1],NAT Port Mapping Protocol,NAT traversal [Note 2],DHT [Note 3],Peer exchange,Encryption,UDP tracker,LPD,Fast extensions,Magnet URI,μTP
0,libtorrent (Rasterbar),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[95],Yes,Yes,Yes[96]
1,MonoTorrent,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
2,rTorrent (libTorrent Rakshasa),Yes,Yes,No,?,?,Yes,Yes,Yes,Yes,?,No,Yes,No
3,BitTorrent library,Super-seeding,Tracker,UPnP,NAT Port Mapping Protocol,NAT traversal,DHT,Peer exchange,Encryption,UDP tracker,LPD,Fast extensions,Magnet URI,μTP
