,Unnamed: 0,construction,destruction
0,ABAP Objects,data variable type ref to class .create object variable «exporting parameter = argument».[1],[2][3]
1,C++ (STL),class variable«(parameters)»; orclass *variable = new class«(parameters)»;,delete pointer;
2,C#,class variable = new class(parameters);,variable.Dispose();[3]
3,Java,class variable = new class(parameters);,[3]
4,D,class variable = new class(parameters);,destroy(variable);
5,eC,"class «instance handle» { «properties/data members assignments, instance method overrides» }",delete instance handle;
6,Objective-C (Cocoa),class *variable = [[class alloc ] init]; or class *variable = [[class alloc ] initWithFoo:parameter «bar:parameter ...»];,[variable release];
7,Swift,let variable = class(parameters),
8,Python,variable = class(parameters),del variable[3] (Normally not needed)
9,Visual Basic .NET,Dim variable As New class(parameters),variable.Dispose()[3]
10,Xojo,Dim variable As New class(parameters),variable = Nil
11,Eiffel,create variable orcreate «{TYPE}» variable.make_foo «(parameters)» orvariable := create {TYPE} orvariable := create {TYPE}.make_foo «(parameters)»,[3]
12,PHP,$variable = new class«(parameters)»;,unset($variable);[3]
13,Perl 5,«my »$variable = class->new«(parameters)»;,undef($variable);
14,Raku,«my »$variable = class.new«(parameters)»;,$variable.undefine;
15,Ruby,variable = class.new«(parameters)»,[3]
16,Windows PowerShell,$variable = New-Object «-TypeName» class ««-ArgumentList» parameters»,Remove-Variable «-Name» variable
17,OCaml,let variable = new class «parameters» or let variable = object members end[4],[3]
18,F#,let variable = «new »class(«parameters»),[3]
19,Smalltalk,"The class is an Object.Just send a message to a class, usually #new or #new:, and many others, for example: Point x: 10 y: 20. Array with: -1 with: 3 with: 2.",
20,JavaScript,"var variable = new class«(parameters)» or var variable = { «key1: value1«, key2: value2 ...»»}",[3]
21,Object Pascal (Delphi),ClassVar := ClassType.ConstructorName(parameters);,ClassVar.Free;
22,Scala,"val obj = new Object // no parameters val obj = new Object(arg0, arg1, arg2...) val obj = Object(arg0, arg1, arg2...) // case class val obj = new Object(arg0, arg1, param1 = value1, ...) // named parameters",[3]
23,COBOL,"INVOKE class ""NEW"" RETURNING variable orMOVE class::""NEW"" TO variable",
24,Cobra,variable «as class» = class(parameters),variable.dispose
25,ISLISP,(setq variable (create (class <some-class> [:field-1 value-1 [:field-2 value-2] ..]))),[3]
