,Unnamed: 0,Design Authority,Software license
0,AutoCAD DXF,,
1,Cartesian coordinate system,,
2,Geography Markup Language GML,Open Geospatial Consortium,?
3,GeoMedia,,
4,MapInfo TAB format,,
5,National Transfer Format,,
6,Shapefile,ESRI,
7,TIGER,,
8,Vector Product Format (VPF),,
9,,,
