,Model,Launch,Code name,Fab (nm),Bus interface,Core config1,Clock speed,Clock speed.1,Clock speed.2,Fillrate,Fillrate.1,Memory,Memory.1,Memory.2,Memory.3,Supported API version,Supported API version.1,Processing power (GFLOPS),TBP (Watts),Notes
0,Model,Launch,Code name,Fab (nm),Bus interface,Core config1,Core (MHz),Shader (MHz),Memory (MHz),Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Direct3D,OpenGL,Processing power (GFLOPS),TBP (Watts),Notes
1,GeForce 9100M G mGPU,2008,"MCP77MH, MCP79MH",65,Integrated (PCIe 2.0 ×16),8:8:4,450,1100,1066(system memory),1.8,3.6,Up to 256 from system memory,17.056,DDR3,128,10.0,3.3,26.4,12,Similar to 8400M G
2,GeForce 9200M GS,2008,NB9M-GE(G98),65,PCIe 2.0 ×16,8:8:4,550,1300,1400,2.2,4.4,256,11.2,DDR2/GDDR3,64,10.0,3.3,31.2,13,
3,GeForce 9300M G,2008,NB9M-GE(G86),80,PCIe 2.0 ×16,16:8:4,400,800,1200,1.6,3.2,256/512,9.6,DDR2/GDDR3,64,10.0,3.3,38.4,13,
4,GeForce 9300M GS,2008,NB9M-GE(G98),65,PCIe 2.0 ×16,8:8:4,550,1400,1400,2.2,4.4,256/512,11.2,DDR2/GDDR3,64,10.0,3.3,33.6,13,
5,GeForce 9400M G,"October 15, 2008",MCP79MX,65,Integrated(PCIe 2.0 ×16),16:8:4,450,1100,8001066(system memory),1.8,3.6,Up to 256 from system memory,12.817.056,DDR2DDR3,128,10.0,3.3,54,12,PureVideo HD with VP3. Known as the GeForce 9400M in Apple systems[107] and Nvidia ION based systems
6,GeForce 9500M G,2008,NB9P(G96),65,PCIe 2.0 ×16,16:8:8,500,1250,1600,4,4,512,25.6,DDR2 / GDDR3,128,10.0,3.3,60,20,
7,GeForce 9500M GS,2008,NB9P-GV(G96),80,PCIe ×16,32:16:8,475,950,1400,3.8,7.6,512,22.4,DDR2 / GDDR3,128,10.0,3.3,91.2,20,Rebranded 8600M GT
8,GeForce 9600M GS,2008,NB9P-GE2(G96),65,PCIe 2.0 ×16,32:16:8,430,1075,8001600,3.44,6.88,1024,12.825.6,DDR2 / GDDR3,128,10.0,3.3,103.2,20,
9,GeForce 9600M GT,2008,NB9P-GS(G96),65,PCIe 2.0 ×16,32:16:8,500,1250,1600,4,8,512/1024,25.6,DDR2 / GDDR3,128,10.0,3.3,120,23,
10,GeForce 9650M GS,2008,NB9P-GS1(G84),80,PCIe 2.0 ×16,32:16:8,625,1250,1600,5,10,512,25.6,GDDR3,128,10.0,3.3,120,29,Rebranded 8700M GT
11,GeForce 9650M GT,2008,NB9P-GT(G96),65/55,PCIe 2.0 ×16,32:16:8,550,1325,1600,4.4,8.8,1024,25.6,GDDR3,128,10.0,3.3,127.2,23,
12,GeForce 9700M GT,"July 29, 2008",NB9E-GE(G96),65,PCIe ×16,32:16:8,625,1550,1600,5,10,512,25.6,GDDR3,128,10.0,3.3,148.8,45,
13,GeForce 9700M GTS,"July 29, 2008",NB9E-GS(G94),65,PCIe 2.0 ×16,48:24:16,530,1325,1600,8.48,12.7,512,51.2,GDDR3,256,10.0,3.3,190.8,60,
14,GeForce 9800M GS,2008,NB9E-GT(G94),65,PCIe 2.0 ×16,64:32:16,530,1325,1600,8.48,16.96,512,51.2,GDDR3,256,10.0,3.3,254,60,Down Clocked 9800M GTS Via Firmware
15,GeForce 9800M GTS,"July 29, 2008",NB9E-GT(G94),65/55,PCIe 2.0 ×16,64:32:16,600,1500,1600,9.6,19.2,512 / 1024,51.2,GDDR3,256,10.0,3.3,288,75,
16,GeForce 9800M GT,"July 29, 2008",NB9E-GT2(G92),65/55,PCIe 2.0 ×16,96:48:16,500,1250,1600,8,24,512,51.2,GDDR3,256,10.0,3.3,360,65,Rebranded 8800M GTX
17,GeForce 9800M GTX,"July 29, 2008",NB9E-GTX(G92),65,PCIe 2.0 ×16,112:56:16,500,1250,1600,8,28,1024,51.2,GDDR3,256,10.0,3.3,420,75,
18,Model,Launch,Code name,Fab (nm),Bus interface,Core config1,Core (MHz),Shader (MHz),Memory (MHz),Pixel (GP/s),Texture (GT/s),Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Direct3D,OpenGL,Processing power (GFLOPS),TBP (Watts),Notes
19,Model,Launch,Code name,Fab (nm),Bus interface,Core config1,Clock speed,Clock speed,Clock speed,Fillrate,Fillrate,Memory,Memory,Memory,Memory,Supported API version,Supported API version,Processing power (GFLOPS),TBP (Watts),Notes
