,NMDC[1] hub,FOSS,Software license,Active,Latest version (release date),GUI,CLI,Other,IPv6 support,Programming language,Based on,Notes
0,UFOHub,No,ProprietaryFreeware,Yes,8.19.9 (2019-Sep-05),Yes,No,Yes,Yes,Unknown,,
1,PTDCH,Yes,GNU GPL,Yes,Never released since 2008,Yes,Unknown,Unknown,No,"Visual Basic, Jscript, VBscript",DDCH,
2,Dtella,Yes,GNU GPL,Yes,1.2.9 (2015-06-07)[2],No,No,Yes,No,Python,,
3,HeXHub,Yes,Open Software License,Yes,5.12 (2014-03-01),Yes,Unknown,Unknown,No,Assembly,,
4,Open Direct Connect Hub,Yes,GNU GPL,No,0.8.3 (2014-08-14),No,Unknown,Unknown,No,"C, Perl",,Available in Debian[3] and OpenWrt[4]
5,Flexhub,Yes,GNU AGPL,Yes,Beta 0.2 svn 1469 (2013-10-22),Pending,Yes,Unknown,No,Lua,,
6,PtokaX,Yes,GNU GPL,Yes,0.5.2.2 (2017-04-11)[5],Yes,Yes,Unknown,Yes,"C++, Lua",,
7,RusHub,Yes,GNU GPL,Yes,2.3.10 (2012-06-10)[6],No,Yes,Unknown,Yes,"C++, Lua",Verlihub[7],
8,VerliHub,Yes,GNU GPL,Yes,1.0.0-RC4 (2015-02-28),No,Yes,Unknown,No,"C++, Lua, Python, Perl",,
9,Eximius[8],No,ProprietaryFreeware,Yes,2007,Yes,Unknown,Unknown,No,"C#, Lua",,
10,DB Hub,Yes,GNU GPL,No,0.451 (2008-02-08),Unknown,Unknown,Unknown,No,Unknown,OpenDCHub,
11,openDCd,Yes,GNU GPL,No,2002,Unknown,Unknown,Unknown,No,Unknown,,
12,DDCH DevDirect Connect Hub,Unknown,Unknown,No,,Yes,No,No,No,"Visual Basic, Jscript",,
13,py-dchub,Yes,MIT License,No,0.2.4 (2006-02-13),Unknown,Unknown,Unknown,No,Python,,
14,Aquila,Yes,GNU GPL,No,0.1.11-pre4-beta4 (2015-02-17),No,Yes,No,No,"C++, Lua",,
15,YnHub,No,ProprietaryFreeware,Yes,1.0364.126 (2016-07-15),Yes,No,No,No,Delphi,,
16,LamaHub,Yes,GNU GPL,No,0.0.6.3 (2010-04-25),Unknown,Unknown,Unknown,No,C,,
17,DC Sharp Hub,Yes,GNU GPL,No,3.0.4 beta (2004-09-06),Unknown,Unknown,Unknown,No,C#,,
18,NMDC hub,FOSS,Software license,Active,Latest version (release date),GUI,CLI,Other,IPv6 support,Programming language,Based on,
