,Model,Released,Codename,Architecture,Fab (nm),Core clock rate (MHz),Config core[a],Fillrate,Fillrate.1,Shared memory,Shared memory.1,Shared memory.2,Processing power(GFLOPS),API compliance (version),API compliance (version).1,API compliance (version).2,API compliance (version).3,Combined TDP[b],Combined TDP[b].1,APU
0,Model,Released,Codename,Architecture,Fab (nm),Core clock rate (MHz),Config core[a],Pixel (GP/s),Texture (GT/s),Bandwidth (GB/s),Bus type,Bus width (bit),Processing power(GFLOPS),Direct3D,OpenGL,OpenCL,Vulkan,Idle (W),Max. (W),APU
1,Radeon HD 6250[135],"November 9, 2010[136]",Wrestler[137],TeraScale 2,40,280–400,80:8:4:2,1.12–1.6,2.24–3.2,8.525,DDR3-1066,64,44.8–64,11.3(11_0),4.5,1.2,,Unknown,9,"C-30, C-50, Z-60"
2,Radeon HD 6290,"January 7, 2011",Ontario,TeraScale 2,40,276–400,80:8:4:2,1.12–1.6,2.24–3.2,8.525,DDR3-1066,64,44.8–64,11.3(11_0),4.5,1.2,,Unknown,9,C-60
3,Radeon HD 6310[135],"November 9, 2010[136]",Wrestler[137],TeraScale 2,40,492,80:8:4:2,2.0,4.0,8.525,DDR3-1066,64,80,11.3(11_0),4.5,1.2,,Unknown,18,"E-240, E-300, E-350"
4,Radeon HD 6320,"August 15, 2011",Wrestler[137],TeraScale 2,40,508–600,80:8:4:2,2.032–2.4,4.064–4.8,10.6,DDR3-1333,64,82–97,11.3(11_0),4.5,1.2,,Unknown,18,E-450
